code,coords
"""B14""=>""70""","49.0682, 6.2441"
"""B14""=>""70""","48.8689, 6.7979"
"""B14""=>""30""","49.1868, 6.3227"
"""EB10""=>NULL","48.7978, 6.6037"
"""EB20""=>NULL","48.8267, 7.1732"
"""EB10""=>NULL","49.0949, 6.1369"
"""B33""=>""30""","49.1918, 6.6945"
"""EB20""=>NULL","48.9914, 6.2729"
"""B14""=>""50"", ""M9z""=>""rappel""","49.0805, 6.7065"
"""B14""=>""30""","49.2557, 6.2351"
"""EB10""=>NULL","48.8120, 7.2241"
"""B14""=>""30""","49.1522, 6.7638"
"""EB20""=>NULL","48.8857, 6.6935"
"""B14""=>""30""","48.9067, 6.7612"
"""B14""=>""50""","48.7928, 7.2358"
"""B14""=>""80"", ""M4f""=>""12t""","49.0592, 6.1856"
"""B14""=>""30""","49.2000, 6.2996"
"""EB10""=>NULL","49.2534, 6.1354"
"""B14""=>""30""","49.3133, 6.2735"
"""EB10""=>NULL","49.0522, 6.2444"
"""EB20""=>NULL","49.3842, 6.4928"
"""EB10""=>NULL","48.8085, 6.6351"
"""EB10""=>NULL","48.6783, 7.2387"
"""B14""=>""70"", ""M9z""=>""rappel""","48.9816, 7.4900"
"""EB10""=>NULL","49.0462, 6.7915"
"""B14""=>""30""","49.1646, 7.0195"
"""EB20""=>NULL","49.4072, 6.4488"
"""B14""=>""70""","48.7491, 7.0364"
"""B33""=>""30""","48.6365, 7.0150"
"""B33""=>""30""","49.0507, 6.9239"
"""EB10""=>NULL","49.2369, 6.2521"
"""B14""=>""30""","48.9013, 6.4100"
"""B14""=>""30""","49.0808, 6.4467"
"""EB20""=>NULL","49.3761, 6.3263"
"""B14""=>""30""","49.0779, 3.7165"
"""B14""=>""30""","49.2273, 6.1068"
"""EB10""=>NULL","49.1301, 6.7307"
"""B14""=>""30""","49.1983, 6.8615"
"""B14""=>""70""","49.2317, 6.0627"
"""EB20""=>NULL","49.2450, 6.4195"
"""EB10""=>NULL","49.3153, 6.1292"
"""EB10""=>NULL","47.8883, 6.9988"
"""B14""=>""30""","49.2756, 6.4009"
"""EB10""=>NULL","49.3046, 6.3267"
"""B14""=>""30""","48.7443, 7.0526"
"""EB20""=>NULL","48.9381, 6.3356"
"""B14""=>""30""","48.9840, 7.5633"
"""B14""=>""50"", ""M9z""=>""rappel""","48.8447, 7.0228"
"""M1""=>""100 m"", ""B14""=>""50""","49.1496, 6.9266"
"""EB10""=>NULL","48.6859, 6.9499"
"""B14""=>""90""","49.1162, 4.2517"
"""EB20""=>NULL","49.4225, 6.3280"
"""B14""=>""30""","49.3469, 6.0556"
"""B14""=>""30""","48.7149, 6.7307"
"""B14""=>""50""","47.7783, 7.0022"
"""EB10""=>NULL","49.2344, 6.4791"
"""EB20""=>NULL","49.0311, 7.4075"
"""B14""=>""30""","49.3554, 6.1893"
"""B14""=>""30""","48.6285, 7.1057"
"""B14""=>""70""","49.0837, 6.6018"
"""EB20""=>NULL","49.0521, 6.2444"
"""B14""=>""50""","48.7300, 4.2260"
"""B14""=>""30""","49.1151, 7.1808"
"""B14""=>""30""","48.7468, 7.0530"
"""EB10""=>NULL","49.1280, 6.7089"
"""EB10""=>NULL","49.7825, 4.7014"
"""B14""=>""90""","48.6416, 5.5097"
"""EB10""=>NULL","48.8230, 7.1746"
"""B14""=>""80""","48.7847, 7.2425"
"""EB10""=>NULL","49.0558, 6.2720"
"""B33""=>""30""","48.7379, 7.0628"
"""B14""=>""90""","49.4723, 6.1216"
"""B14""=>""30""","49.0764, 6.2299"
"""EB20""=>NULL","48.7667, 6.8543"
"""B14""=>""30""","49.3454, 6.1872"
"""B14""=>""50""","49.1372, 6.3792"
"""EB10""=>NULL","49.0159, 6.9637"
"""EB10""=>NULL","49.0902, 7.0970"
"""EB10""=>NULL","48.9812, 6.9639"
"""EB20""=>NULL","48.6553, 6.9619"
"""EB10""=>NULL","48.5960, 7.0191"
"""EB10""=>NULL","47.8316, 7.5130"
"""EB10""=>NULL","48.6669, 6.9879"
"""EB20""=>NULL","49.1238, 6.8175"
"""B14""=>""30""","49.2272, 6.0207"
"""EB10""=>NULL","49.1721, 6.3089"
"""B14""=>""70""","48.6827, 7.0748"
"""B31""=>NULL","49.2326, 6.0311"
"""B14""=>""50""","49.1279, 6.7278"
"""B14""=>""70""","48.9702, 6.9032"
"""EB10""=>NULL","48.9609, 7.3249"
"""EB10""=>NULL","49.0014, 7.0347"
"""B14""=>""30""","49.2942, 6.1129"
"""M1""=>""150 m"", ""B14""=>""50""","48.8274, 6.8469"
"""B14""=>""50"", ""M9z""=>""rappel""","48.7261, 7.0714"
"""B14""=>""50"", ""M9z""=>""rappel""","48.7084, 6.9994"
"""EB10""=>NULL","48.7907, 7.1609"
"""B33""=>""30""","49.1927, 6.8861"
"""B14""=>""30""","49.0059, 6.1999"
"""EB20""=>NULL","49.2344, 6.4789"
"""EB20""=>NULL","48.7009, 7.0994"
"""EB20""=>NULL","49.1312, 6.9698"
"""EB20""=>NULL","49.0829, 6.3915"
"""EB10""=>NULL","48.9864, 6.5556"
"""B14""=>""50"", ""M9z""=>""rappel""","49.2633, 6.1439"
"""EB20""=>NULL","48.7734, 7.1257"
"""EB20""=>NULL","49.0370, 6.7474"
"""B14""=>""50""","49.0571, 7.1040"
"""EB10""=>NULL","48.3036, 5.1431"
"""EB10""=>NULL","49.1251, 7.1025"
"""EB20""=>NULL","49.3105, 6.2899"
"""B14""=>""70""","49.0284, 7.1496"
"""B14""=>""70""","49.1334, 6.7353"
"""B14""=>""70""","48.4831, 5.1361"
"""B14""=>""70""","49.2216, 4.0227"
"""B14""=>""70""","49.2216, 4.0228"
"""B33""=>""70""","49.1010, 6.7562"
"""EB10""=>NULL","49.1228, 6.9699"
"""B14""=>""70""","49.2499, 6.4173"
"""EB20""=>NULL","48.8063, 6.9865"
"""EB10""=>NULL","48.7524, 7.0700"
"""C207""=>NULL","49.2412, 6.1797"
"""EB20""=>NULL","48.9000, 6.8081"
"""B14""=>""70""","49.2402, 6.6319"
"""B14""=>""50""","49.2268, 4.0283"
"""EB20""=>NULL","49.1415, 6.1883"
"""B14""=>""30""","49.1011, 7.0865"
"""EB20""=>NULL","48.9302, 6.7133"
"""EB10""=>NULL","49.1387, 6.5450"
"""B14""=>""30""","49.0557, 7.4337"
"""EB10""=>NULL","49.3514, 6.5554"
"""B14""=>""90"", ""M3a""=>""1""","49.0845, 6.1056"
"""B14""=>""30"", ""M4g""=>""""","49.1469, 7.0430"
"""EB20""=>NULL","48.8889, 6.7838"
"""C108""=>NULL","48.5702, 5.0352"
"""B33""=>""30""","48.8139, 6.6360"
"""B14""=>""50""","48.7342, 7.0803"
"""C108""=>NULL","49.2835, 4.0143"
"""B14""=>""30"", ""M4f""=>""3.5t""","49.3493, 4.0776"
"""B14""=>""30""","49.8667, 4.4325"
"""B14""=>""50""","48.6754, 6.7855"
"""B14""=>""90"", ""M9z""=>""rappel""","48.6172, 4.5695"
"""EB10""=>NULL","48.9665, 6.9351"
"""EB20""=>NULL","49.3298, 6.2449"
"""EB10""=>NULL","48.8922, 6.6863"
"""B14""=>""70""","48.6832, 6.7792"
"""B14""=>""30""","48.8040, 6.8969"
"""B14""=>""30""","49.2549, 6.2353"
"""C208""=>NULL","49.1950, 5.9871"
"""EB10""=>NULL","48.9522, 6.1416"
"""EB10""=>NULL","49.2630, 6.1490"
"""B14""=>""50""","49.0403, 7.2757"
"""EB10""=>NULL","49.0993, 7.1072"
"""B14""=>""30""","49.1205, 6.2666"
"""EB10""=>NULL","49.1538, 6.1212"
"""B14""=>""50"", ""M9z""=>""rappel""","49.1425, 6.1524"
"""B14""=>""70""","48.7507, 7.0090"
"""EB10""=>NULL","49.1906, 6.6151"
"""EB10""=>NULL","49.1228, 6.9324"
"""M1""=>""150 m"", ""B14""=>""50""","49.1105, 6.9594"
"""EB20""=>NULL","48.7762, 7.0175"
"""B14""=>""90"", ""M9z""=>""rappel""","48.6659, 4.5833"
"""B14""=>""70""","49.3149, 6.0805"
"""EB10""=>NULL","49.0492, 6.8356"
"""B14""=>""30""","49.0939, 6.1740"
"""EB20""=>NULL","48.9525, 6.6789"
"""B14""=>""30""","48.8904, 6.6283"
"""B33""=>""30""","49.3323, 6.1805"
"""B14""=>""30""","49.1991, 6.8574"
"""B14""=>""50"", ""M9z""=>""rappel""","49.0986, 6.6080"
"""EB10""=>NULL","48.8055, 6.9962"
"""EB20""=>NULL","48.6680, 6.8311"
"""B33""=>""30""","48.7636, 7.1528"
"""EB10""=>NULL","48.9020, 6.8049"
"""EB10""=>NULL","49.0808, 7.1348"
"""EB20""=>NULL","48.7754, 7.1488"
"""EB10""=>NULL","48.2450, 4.8948"
"""EB10""=>NULL","48.3933, 6.8153"
"""B14""=>""30""","49.1045, 6.3104"
"""EB20""=>NULL","49.3299, 6.3931"
"""EB20""=>NULL","49.1813, 6.1009"
"""EB10""=>NULL","48.9808, 7.4578"
"""EB10""=>NULL","49.1087, 6.7901"
"""EB20""=>NULL","49.1275, 7.0831"
"""B14""=>""30""","49.1608, 7.0245"
"""B14""=>""30""","49.1229, 7.0971"
"""EB20""=>NULL","49.0535, 6.6179"
"""EB20""=>NULL","49.1191, 6.8253"
"""B14""=>""70""","49.3466, 6.0657"
"""B14""=>""50""","49.2263, 6.0213"
"""B14""=>""30""","49.3609, 6.0881"
"""B14""=>""70""","48.5757, 7.7278"
"""EB20""=>NULL","48.3934, 6.8151"
"""B14""=>""50"", ""M9z""=>""rappel""","49.1112, 7.0999"
"""EB10""=>NULL","49.1075, 6.4754"
"""EB10""=>NULL","48.8405, 7.1854"
"""B33""=>""30""","49.1309, 6.8896"
"""B14""=>""30""","49.1346, 7.1300"
"""EB10""=>NULL","49.1326, 7.4211"
"""EB10""=>NULL","48.9828, 7.4506"
"""B33""=>""30""","49.1231, 7.1508"
"""B33""=>""70""","49.2433, 6.0749"
"""B33""=>""30""","48.7642, 7.1539"
"""B14""=>""70""","48.7057, 7.1129"
"""EB10""=>NULL","49.3682, 6.3465"
"""B14""=>""70""","48.7174, 7.2230"
"""EB20""=>NULL","49.1574, 6.2641"
"""EB10""=>NULL","49.1239, 6.8187"
"""EB20""=>NULL","48.9654, 6.4596"
"""B14""=>""30""","49.1295, 6.7087"
"""EB10""=>NULL","49.3898, 6.2632"
"""B33""=>""30""","49.0909, 7.0949"
"""B14""=>""30""","48.7426, 7.2343"
"""B14""=>""30""","49.1515, 7.0935"
"""B14""=>""70""","48.6283, 6.9923"
"""B33""=>""30""","49.1640, 6.8719"
"""EB10""=>NULL","48.7404, 7.1473"
"""B14""=>""90""","48.1124, 4.8737"
"""B14""=>""30""","49.3324, 6.1804"
"""B14""=>""30""","49.1984, 6.5719"
"""B14""=>""30""","49.1473, 6.8136"
"""B33""=>""30""","49.3660, 6.2890"
"""B14""=>""70""","49.2607, 6.3496"
"""EB20""=>NULL","49.0937, 5.9523"
"""EB10""=>NULL","48.8275, 6.8452"
"""EB10""=>NULL","49.0527, 6.5738"
"""B33""=>""30""","49.2981, 6.3073"
"""EB10""=>NULL","49.1200, 6.9384"
"""B14""=>""30""","48.9305, 6.8189"
"""EB10""=>NULL","49.1289, 6.5018"
"""B33""=>""70""","48.6866, 6.9355"
"""B14""=>""30""","49.1705, 6.1790"
"""EB20""=>NULL","48.8385, 7.1768"
"""B14""=>""70""","48.6811, 7.1297"
"""B14""=>""30""","49.0672, 6.0813"
"""B14""=>""30""","49.2982, 6.3072"
"""EB10""=>NULL","49.3469, 6.3520"
"""EB10""=>NULL","49.0433, 6.9653"
"""B14""=>""30""","49.1071, 6.5385"
"""B14""=>""30""","49.0862, 6.5424"
"""B14""=>""70""","48.8245, 6.5192"
"""B14""=>""30""","49.1874, 6.3262"
"""EB10""=>NULL","49.4039, 4.3394"
"""B14""=>""30"", ""M4g""=>NULL","48.7908, 6.6070"
"""B14""=>""30""","49.0809, 6.4467"
"""EB10""=>NULL","48.9585, 7.3918"
"""B14""=>""30""","49.0783, 6.1908"
"""B14""=>""30""","49.2669, 4.8319"
"""B14""=>""90"", ""M3a""=>""1""","48.4850, 6.2422"
"""EB20""=>NULL","49.0094, 7.3852"
"""EB10""=>NULL","49.3103, 6.2901"
"""EB10""=>NULL","49.2590, 6.6287"
"""EB10""=>NULL","48.2003, 4.9644"
"""EB10""=>NULL","49.0523, 7.3115"
"""B31""=>NULL","48.7125, 6.9999"
"""EB10""=>NULL","49.2484, 6.6560"
"""B14""=>""70""","49.1366, 6.6804"
"""B14""=>""30""","49.3099, 6.4048"
"""EB20""=>NULL","48.3701, 3.7730"
"""C108""=>NULL","48.1291, 5.1064"
"""EB10""=>NULL","48.7450, 7.1056"
"""B14""=>""30""","48.5425, 7.6564"
"""B14""=>""30""","49.1269, 7.1171"
"""EB20""=>NULL","48.9177, 6.6163"
"""EB10""=>NULL","48.7702, 6.7959"
"""B14""=>""30""","49.3544, 6.1887"
"""B14""=>""30"", ""M9Z""=>""Rappel""","49.3368, 6.0793"
"""EB20""=>NULL","48.7411, 6.9609"
"""B14""=>""70""","49.0409, 7.0309"
"""B14""=>""50""","49.0525, 7.1335"
"""B14""=>""30"", ""M4g""=>NULL","48.1218, 5.1373"
"""B14""=>""30""","49.2194, 6.7144"
"""EB10""=>NULL","49.1728, 6.6456"
"""EB10""=>NULL","48.7867, 7.1625"
"""B14""=>""30""","49.3595, 6.0875"
"""B14""=>""30"", ""M9z""=>""rappel""","49.1564, 6.1102"
"""EB20""=>NULL","48.7923, 6.6772"
"""B14""=>""50""","48.8855, 6.6146"
"""EB20""=>""AGGLO""","48.4395, 5.1309"
"""B14""=>""30""","49.3062, 6.0835"
"""B14""=>""30""","49.3543, 6.0899"
"""B14""=>""30""","48.7451, 7.0531"
"""B14""=>""90""","48.4395, 5.1309"
"""EB10""=>NULL","49.2081, 6.1405"
"""B14""=>""30""","48.6373, 7.0137"
"""EB10""=>NULL","49.1223, 6.2785"
"""EB20""=>NULL","48.6742, 7.1769"
"""EB20""=>NULL","49.2171, 4.0955"
"""B14""=>""30""","48.4218, 7.1867"
"""B14""=>""30""","48.5585, 7.7380"
"""EB10""=>NULL","49.0772, 6.1433"
"""B14""=>""30""","49.3157, 6.2874"
"""EB10""=>NULL","48.9702, 6.9035"
"""EB20""=>NULL","48.7342, 6.9409"
"""EB20""=>NULL","48.6328, 7.0142"
"""B14""=>""70"", ""M9z""=>""rappel""","48.0864, 5.1486"
"""EB20""=>NULL","49.0009, 7.3831"
"""B14""=>""30""","49.2978, 6.6223"
"""EB20""=>NULL","48.6467, 6.8925"
"""EB10""=>NULL","48.6904, 7.0510"
"""EB20""=>NULL","49.1475, 6.3318"
"""B14""=>""70""","48.7921, 7.2364"
"""B33""=>""70""","49.0555, 7.6199"
"""EB10""=>NULL","49.1643, 7.4341"
"""B31""=>NULL","49.2262, 6.0211"
"""B14""=>""50"", ""M9z""=>""rappel""","49.0624, 6.1589"
"""EB20""=>NULL","48.6859, 6.9498"
"""EB10""=>NULL","48.8128, 7.0096"
"""B14""=>""70""","48.9889, 7.3378"
"""EB10""=>NULL","48.9601, 6.3750"
"""B14""=>""30""","48.9246, 6.6379"
"""EB20""=>NULL","49.0138, 6.7798"
"""EB10""=>NULL","48.6756, 7.1349"
"""EB10""=>NULL","49.0384, 6.1892"
"""B14""=>""70""","48.9308, 6.6448"
"""EB20""=>NULL","48.7247, 7.0910"
"""EB10""=>NULL","48.9095, 6.6186"
"""B14""=>""30""","48.9713, 6.9103"
"""EB10""=>NULL","48.8677, 6.7559"
"""B14""=>""30"", ""M9z""=>""rappel""","48.7397, 7.0734"
"""B14""=>""70""","48.9399, 6.4653"
"""EB10""=>NULL","49.0022, 6.6175"
"""B33""=>""30""","49.3473, 6.1400"
"""B14""=>""30""","48.9840, 7.0136"
